ticker,date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,adj_close,adj_volume
XOM,2022-01-27,75.46,76.01,73.985,75.12,29155555.0,0.0,1.0,68.4346874410215,68.9334825389881,67.0970096782928,68.1263413804603,29155555.0
XOM,2022-01-26,75.43,76.0,73.49,74.17,35239285.0,0.0,1.0,68.4074804356779,68.9244135372069,66.6480940901229,67.2647862112452,35239285.0
XOM,2022-01-25,72.59,75.235,71.39,74.93,39246572.0,0.0,1.0,65.8318839298138,68.2306349009443,64.7436037160685,67.9540303466173,39246572.0
XOM,2022-01-24,70.88,73.08,69.805,72.79,41506825.0,0.0,1.0,64.2810846252267,66.2762650170932,63.3061669337465,66.0132639654381,41506825.0
XOM,2022-01-21,73.18,73.18,71.04,72.17,35109395.0,0.0,1.0,66.3669550349053,66.3669550349053,64.4261886537261,65.450985855003,35109395.0
XOM,2022-01-20,72.5,74.37,72.26,73.27,26748657.0,0.0,1.0,65.7502629137829,67.4461662468695,65.5326068710339,66.4485760509362,26748657.0
XOM,2022-01-19,73.75,73.86,72.55,73.11,26408628.0,0.0,1.0,66.8838881364344,66.9836471560277,65.795607922689,66.3034720224368,26408628.0
XOM,2022-01-18,72.82,73.88,72.01,73.08,32840587.0,0.0,1.0,66.0404709707817,67.0017851595901,65.3058818265036,66.2762650170932,32840587.0
XOM,2022-01-14,70.65,72.145,70.6,71.87,23007962.0,0.0,1.0,64.0724975842588,65.4283133505499,64.0271525753528,65.1789158015666,23007962.0
XOM,2022-01-13,71.12,71.58,70.31,70.63,20829479.0,0.0,1.0,64.4987406679758,64.9159147499115,63.7641515236976,64.0543595806964,20829479.0
XOM,2022-01-12,71.14,71.81,70.64,71.14,23029108.0,0.0,1.0,64.5168786715382,65.1245017908793,64.0634285824776,64.5168786715382,23029108.0
XOM,2022-01-11,68.89,71.4,68.58,71.35,32925166.0,0.0,1.0,62.4763532707656,64.7526727178497,62.195214215548,64.7073277089436,32925166.0
XOM,2022-01-10,68.97,69.17,67.95,68.47,22754800.0,0.0,1.0,62.5489052850153,62.7302853206395,61.6238671033317,62.0954551959547,22754800.0
XOM,2022-01-07,68.52,69.18,67.98,68.88,23975454.0,0.0,1.0,62.1408002048608,62.7393543224207,61.6510741086754,62.4672842689844,23975454.0
XOM,2022-01-06,68.0,68.48,67.07,68.32,30651664.0,0.0,1.0,61.6692121122378,62.1045241977359,60.8257949465851,61.9594201692365,30651664.0
XOM,2022-01-05,66.5,67.61,66.48,66.75,34008238.0,0.0,1.0,60.3088618450561,61.3155210427705,60.2907238414937,60.5355868895864,34008238.0
XOM,2022-01-04,64.13,66.185,64.1,65.93,38560711.0,0.0,1.0,58.1595084229089,60.0231882889479,58.1323014175653,59.791928743527,38560711.0
XOM,2022-01-03,61.24,63.6,61.21,63.54,24273517.0,0.0,1.0,55.5385669081389,57.6788513285047,55.5113599027952,57.6244373178175,24273517.0
AAPL,2022-08-22,169.69,169.86,167.135,167.57,67755486.0,0.0,1.0,167.835050070314,168.003191731649,165.307979807307,165.738224646606,67755486.0
SPY,2022-01-26,440.72,444.04,428.86,433.38,185897969.0,0.0,1.0,419.145437949139,422.302914020094,407.86602041856,412.164752900703,185897969.0
SPY,2022-01-25,433.06,439.72,427.15,434.47,166965042.0,0.0,1.0,411.86041785772,418.194390939815,406.239730032616,413.201394140866,166965042.0
SPY,2022-01-24,432.03,440.38,420.76,439.84,251783860.0,0.0,1.0,410.880839438116,418.822081965969,400.162539643038,418.308516580934,251783860.0
SPY,2022-01-21,445.56,448.06,437.95,437.98,201887711.0,0.0,1.0,423.748505474266,426.126122997575,416.511037733312,416.539569143592,201887711.0
SPY,2022-01-20,453.75,458.74,444.5,446.75,121930744.0,0.0,1.0,431.537580480627,436.283305057152,422.740395644383,424.880251415361,121930744.0
SPY,2022-01-19,458.13,459.6124,451.46,451.75,108969473.0,0.0,1.0,435.703166381465,437.112998468086,429.359682829276,429.635486461979,108969473.0
SPY,2022-01-11,465.23,469.85,462.05,469.75,74130151.0,0.0,1.0,442.455600147663,446.849437330738,439.431270658013,446.754332629806,74130151.0
SPY,2022-01-10,462.7,465.74,456.5973,465.51,119107793.0,0.0,1.0,440.049451214074,442.940634122418,434.245496630274,442.721893310273,119107793.0
SPY,2022-01-07,467.95,469.2,464.65,466.09,85057124.0,0.0,1.0,445.042448013023,446.231256774678,441.903992882255,443.273500575681,85057124.0
SPY,2022-01-06,467.89,470.82,465.43,467.94,86687445.0,0.0,1.0,444.985385192464,447.771952929782,442.645809549528,445.03293754293,86687445.0
SPY,2022-01-05,477.16,477.98,468.2801,468.38,104052139.0,0.0,1.0,453.801590968895,454.58144951654,445.356388630801,445.451398227032,104052139.0
SPY,2022-01-04,479.22,479.98,475.58,477.55,70901714.0,0.0,1.0,455.760747808101,456.483543535187,452.298936694163,454.172499302531,70901714.0
JPM,2022-11-03,126.31,128.18,125.91,127.2,12470580.0,0.0,1.0,119.808357731064,121.582101923584,119.4289472086,120.652546143547,12470580.0
JPM,2022-09-26,108.0,109.605,106.06,106.79,15743797.0,0.0,1.0,101.521181840343,103.029899403803,99.6975606109884,100.383768599354,15743797.0
JPM,2022-08-30,115.0,115.58,113.36,114.41,10723926.0,0.0,1.0,108.101258441106,108.646464788026,106.559640494641,107.546651984756,10723926.0
JPM,2022-07-05,110.77,112.71,109.3,112.62,12513212.0,1.0,1.0,104.125012152359,105.948633381713,102.743196066199,105.864032396846,12513212.0
JPM,2022-07-01,112.65,114.415,111.16,114.05,10571313.0,0.0,1.0,104.960246871191,106.604763832821,103.571957764772,106.264679588632,10571313.0
AAPL,2022-12-29,127.99,130.4814,127.73,129.61,75477458.0,0.0,1.0,126.801295052137,129.269556217016,126.543709797714,128.406249329693,75477458.0
MSFT,2022-12-30,238.21,239.96,236.66,239.82,21938472.0,0.0,1.0,234.848358310391,236.573662147522,233.320232054645,236.435637840552,21938472.0
MSFT,2022-12-29,235.65,241.92,235.65,241.01,19743126.0,0.0,1.0,232.324485268643,238.50600244511,232.324485268643,237.608844449802,19743126.0
MSFT,2022-12-28,236.89,239.72,234.17,234.53,17198539.0,0.0,1.0,233.54698627324,236.337049049859,230.865371166383,231.220290812879,17198539.0
MSFT,2022-12-27,238.7,238.93,235.83,236.96,16424560.0,0.0,1.0,235.331443384788,235.558197603382,232.501945091891,233.615998426725,16424560.0
MSFT,2022-12-22,241.255,241.99,233.87,238.19,28635790.0,0.0,1.0,237.850386987,238.575014598595,230.569604794304,234.828640552252,28635790.0
MSFT,2022-12-21,241.69,245.615,240.11,244.43,23671465.0,0.0,1.0,238.279248226516,242.148858261226,236.721545333562,240.980581091511,23671465.0
